FunctionName;Type;DefinedIn;ExportedIn;UsageFile;UsageLineNumber;UsageLineContent
verifier_rencontre;function;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;238;"return verifier_rencontre();"
generer_rencontre;function;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;app\routes.py;186;monstre_id = generer_rencontre(x, y, carte)
generer_rencontre;function;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;app\utils.py;49;"def generer_rencontre(x, y, nom_carte=""map1""):"
generer_rencontre;function;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;236;function generer_rencontre() {
detecter_sortie;function;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;242;function detecter_sortie(exit_zones) {
verifier_combat_adj_monstre;function;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;app\static\js\combat_manager_logic.js;253;function verifier_combat_adj_monstre() {
set_combat;function;app\static\js\combat_manager_logic.js;;app\static\js\combat_manager_logic.js;312;function set_combat(actif) {
set_combat;function;app\static\js\combat_manager_logic.js;;app\static\js\player_state_logic.js;111;"modules.set_combat(false); // Force la fin du combat"
detectMonsters;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;20;function detectMonsters(currentX, currentY) {
detectMonsters;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;115;"const { monstreSurCase, monstreAdj, monsterElements } = detectMonsters(x, y);"
triggerCombatIfNeeded;function;app\static\js\input_handler_logic.js;;app\static\js\input_handler_logic.js;33;function triggerCombatIfNeeded(monstreSurCase, monstreAdj, monsterElements, currentX, currentY) {
triggerCombatIfNeeded;function;app\static\js\input_handler_logic.js;;app\static\js\input_handler_logic.js;117;"triggerCombatIfNeeded(monstreSurCase, monstreAdj, monsterElements, x, y);"
isMoveBlockedByMonster;function;app\static\js\input_handler_logic.js;;app\static\js\input_handler_logic.js;61;function isMoveBlockedByMonster(newX, newY) {
isMoveBlockedByMonster;function;app\static\js\input_handler_logic.js;;app\static\js\input_handler_logic.js;146;"const monstreSurCaseDeplacement = isMoveBlockedByMonster(newX, newY);"
utiliser_talent_en_combat;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;71;function utiliser_talent_en_combat(talent) {
utiliser_talent_en_combat;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;108;"utiliser_talent_en_combat(talent);"
utiliser_talent_en_combat;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\player_main_logic.js;175;"utiliser_talent_en_combat(talent);"
utiliser_talent_en_combat;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\player_talents_logic.js;102;"utiliser_talent_en_combat(talent);"
handleKeydown;function;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;app\static\js\input_handler_logic.js;94;function handleKeydown(e) {
showToast;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;29;function showToast(message, color = '#333') {
showToast;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;158;"showToast('Partie sauvegardée !', '#388e3c');"
showToast;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;160;"showToast('Erreur lors de la sauvegarde.', '#c62828');"
showToast;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;163;"showToast('Erreur réseau lors de la sauvegarde.', '#c62828');"
chargerTalentsEtDemarrerJeu;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;62;function chargerTalentsEtDemarrerJeu() {
chargerTalentsEtDemarrerJeu;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;184;"chargerTalentsEtDemarrerJeu();"
demarrerJeu;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;70;"demarrerJeu();"
demarrerJeu;function;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;app\static\js\main_entry_point.js;78;function demarrerJeu() {
changeClass;function;app\static\js\main_entry_point.js;;app\static\js\main_entry_point.js;197;function changeClass(direction) {
changeClass;function;app\static\js\main_entry_point.js;;app\templates\menu.html;29;"<span class=""arrow"" onclick=""changeClass(-1)"">⯇</span>"
changeClass;function;app\static\js\main_entry_point.js;;app\templates\menu.html;32;"<span class=""arrow"" onclick=""changeClass(1)"">⯈</span>"
getVisibleTileCount;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;26;function getVisibleTileCount() {
extraireCoordonneesCarte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;32;function extraireCoordonneesCarte(nom) {
extraireCoordonneesCarte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;49;"const { colonne, ligne } = extraireCoordonneesCarte(currentMap);"
getBlockedKey;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;38;function getBlockedKey(x, y) {
getBlockedKey;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;43;"return blockedTiles.has(getBlockedKey(x, y));"
getBlockedKey;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;170;"blockedTiles.add(getBlockedKey(x, y));"
getBlockedKey;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;242;"return blockedTiles.has(getBlockedKey(x, y));"
isBlocked;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\input_handler_logic.js;140;if (modules.isBlocked(newX, newY)) {
isBlocked;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;42;function isBlocked(x, y) {
isBlocked;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\player_state_logic.js;123;if (check_blocked && isBlocked(x, y)) {
isBlocked;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\player_state_logic.js;130;if (!isBlocked(tryX, tryY)) {
isBlocked;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\player_talents_logic.js;181;if (!isBlocked(tryX, tryY) && !monstreSurCase) {
deplacementVersCarte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;47;function deplacementVersCarte(direction) {
charger_nouvelle_carte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\main_entry_point.js;125;"charger_nouvelle_carte(saveData.carte, saveData.position.x, saveData.position.y);"
charger_nouvelle_carte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;86;"charger_nouvelle_carte(nouvelleCarte, spawnX, spawnY);"
charger_nouvelle_carte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;91;function charger_nouvelle_carte(nomCarte, spawnX = null, spawnY = null) {
charger_nouvelle_carte;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;235;"return charger_nouvelle_carte(""A1""); // Laisser chargerNouvelleCarte gérer le player_start"
charger_carte_initiale;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\main_entry_point.js;123;"charger_carte_initiale(saveData.carte, null, null);"
charger_carte_initiale;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;234;export function charger_carte_initiale() {
est_bloquee;function;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;app\static\js\map_main_logic.js;241;export function est_bloquee(x, y) { // Renommage français + snake_case
create_monstre_state;function;app\static\js\monstre_main_logic.js;;app\static\js\monstre_main_logic.js;43;function create_monstre_state(monstre_data) {
create_monstre_state;function;app\static\js\monstre_main_logic.js;;app\static\js\monstre_main_logic.js;79;"const monstre_state = create_monstre_state({ id, nom, niveau, pv, atk, def, pos_x, pos_y });"
creer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\combat_manager_logic.js;70;const monstre_obj = creer_monstre({
creer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;52;function creer_monstre({ id, nom, niveau, pv, atk, def, image, base_id, pos_x = 0, pos_y = 0 }) {
creer_element_monstre;function;app\static\js\monstre_main_logic.js;;app\static\js\monstre_main_logic.js;80;"const monstre_div = creer_element_monstre(image, id, pos_x, pos_y);"
creer_element_monstre;function;app\static\js\monstre_main_logic.js;;app\static\js\monstre_main_logic.js;104;function creer_element_monstre(image, unique_id, pos_x = 0, pos_y = 0) {
deplacer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;135;function deplacer_monstre(monstre) {
deplacer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;230;"deplacer_monstre(monstre);"
deplacer_tous_monstres;function;app\static\js\monstre_main_logic.js;;app\static\js\monstre_main_logic.js;173;function deplacer_tous_monstres() {
demarrer_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;94;"demarrer_deplacement_monstres();"
demarrer_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;238;function demarrer_deplacement_monstres() {
demarrer_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;254;"demarrer_deplacement_monstres();"
demarrer_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;264;"demarrer_deplacement_monstres();"
arreter_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\combat_manager_logic.js;96;"arreter_deplacement_monstres();"
arreter_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;178;"arreter_deplacement_monstres();"
arreter_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;245;function arreter_deplacement_monstres() {
arreter_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;259;"// arreter_deplacement_monstres();"
arreter_deplacement_monstres;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;377;"arreter_deplacement_monstres();"
get_monstre_par_id;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;268;function get_monstre_par_id(id) {
get_monstres_adjacents_et_case;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;272;function get_monstres_adjacents_et_case() {
get_monstres_actifs;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\combat_manager_logic.js;262;"const monstres_actifs = get_monstres_actifs();"
get_monstres_actifs;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;283;function get_monstres_actifs() {
appliquer_degats_au_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\combat_manager_logic.js;165;"appliquer_degats_au_monstre(window.current_monstre, valeur);"
appliquer_degats_au_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;288;function appliquer_degats_au_monstre(monstre, valeur) {
appliquer_soin_au_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;304;function appliquer_soin_au_monstre(monstre, valeur) {
appliquer_buff_au_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;309;function appliquer_buff_au_monstre(monstre, nom_buff) {
appliquer_debuff_au_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;314;function appliquer_debuff_au_monstre(monstre, nom_debuff) {
appliquer_miss_au_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;319;function appliquer_miss_au_monstre(monstre) {
appliquer_poison;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;323;function appliquer_poison(monstre, valeur = 2, duree = 4000) {
appliquer_stun;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;340;function appliquer_stun(monstre, duree = 2000) {
appliquer_debuff_atk_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;349;function appliquer_debuff_atk_monstre(monstre, valeur = -2, duree = 3000) {
est_empoisonne;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;354;function est_empoisonne(monstre) {
retirer_poison;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;358;function retirer_poison(monstre) {
supprimer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\routes.py;271;supprimer_monstre(x, y, carte)
supprimer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\utils.py;85;def supprimer_monstre(x, y, nom_carte):
supprimer_monstre;function;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;app\static\js\monstre_main_logic.js;363;function supprimer_monstre(monstre) {
stop_all_monstres;function;app\static\js\monstre_main_logic.js;;app\static\js\monstre_main_logic.js;376;function stop_all_monstres() {
creer_etat_monstre;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;12;function creer_etat_monstre({ id, nom, niveau, pv, atk, def, ...autres }) {
set_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;290;"set_monstre_pv(monstre.state, pv_avant - valeur);"
set_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;305;"set_monstre_pv(monstre.state, Math.min(get_monstre_pv(monstre.state) + valeur, monstre.state.pv_max));"
set_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;329;"set_monstre_pv(monstre.state, get_monstre_pv(monstre.state) - valeur);"
set_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;29;"function set_monstre_pv(monstre, pv) { monstre.pv = pv; }"
get_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\combat_manager_logic.js;166;if (get_monstre_pv(window.current_monstre.state) <= 0) {
get_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;289;"const pv_avant = get_monstre_pv(monstre.state);"
get_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;291;"const pv_apres = get_monstre_pv(monstre.state);"
get_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;305;"set_monstre_pv(monstre.state, Math.min(get_monstre_pv(monstre.state) + valeur, monstre.state.pv_max));"
get_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;329;"set_monstre_pv(monstre.state, get_monstre_pv(monstre.state) - valeur);"
get_monstre_pv;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;30;"function get_monstre_pv(monstre) { return monstre.pv; }"
set_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;81;"set_monstre_position(monstre_state, pos_x, pos_y);"
set_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;166;"set_monstre_position(monstre.state, new_x, new_y);"
set_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;31;"function set_monstre_position(monstre, x, y) { monstre.position = { x, y }; }"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\combat_manager_logic.js;129;"const monster_pos = get_monstre_position(monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\combat_manager_logic.js;155;"const monster_pos = get_monstre_position(window.current_monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\combat_manager_logic.js;278;"const monster_pos = get_monstre_position(monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;140;"const monster_pos = get_monstre_position(monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;186;"const monster_pos = get_monstre_position(window.current_monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;201;"const monster_pos = get_monstre_position(monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;276;"const { x, y } = get_monstre_position(monstre.state);"
get_monstre_position;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;32;"function get_monstre_position(monstre) { return { ...monstre.position }; }"
set_monstre_statut;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;310;"set_monstre_statut(monstre.state, { type: 'buff', nom: nom_buff });"
set_monstre_statut;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;315;"set_monstre_statut(monstre.state, { type: 'debuff', nom: nom_debuff });"
set_monstre_statut;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;33;"function set_monstre_statut(monstre, statut) { monstre.statuts.push(statut); }"
clear_monstre_statuts;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;34;"function clear_monstre_statuts(monstre) { monstre.statuts = []; }"
reset_monstre;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;37;function reset_monstre(monstre, params = {}) {
get_monstre_save_data;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;47;function get_monstre_save_data(monstre) {
load_monstre_data;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;50;function load_monstre_data(monstre, data) {
appliquer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js,app\static\js\utils_main_logic.js;app\static\js\monstre_main_logic.js;324;appliquer_effet(monstre.state, 'poison', {
appliquer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js,app\static\js\utils_main_logic.js;app\static\js\monstre_main_logic.js;341;appliquer_effet(monstre.state, 'stun', {
appliquer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js,app\static\js\utils_main_logic.js;app\static\js\monstre_state_logic.js;59;function appliquer_effet(monstre, effet, { duree = 2000, valeur = 1, on_tick, on_end } = {}) {
appliquer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js,app\static\js\utils_main_logic.js;app\static\js\monstre_state_logic.js;96;appliquer_effet(monstre, 'debuff_atk', {
appliquer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js,app\static\js\utils_main_logic.js;app\static\js\utils_main_logic.js;175;function appliquer_effet(effect_type, value, duration) {
a_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;355;"return a_effet(monstre.state, 'poison');"
a_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;78;function a_effet(monstre, effet) {
retirer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;359;"retirer_effet(monstre.state, 'poison');"
retirer_effet;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;82;function retirer_effet(monstre, effet) {
appliquer_debuff_atk;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_main_logic.js;350;"appliquer_debuff_atk(monstre.state, valeur, duree);"
appliquer_debuff_atk;function;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;app\static\js\monstre_state_logic.js;93;function appliquer_debuff_atk(monstre, valeur, duree) {
afficher_degats_monstre;function;app\static\js\monstre_visual_utils.js;app\static\js\monstre_visual_utils.js;app\static\js\monstre_main_logic.js;301;"afficher_degats_monstre(monstre.element, valeur);"
afficher_degats_monstre;function;app\static\js\monstre_visual_utils.js;app\static\js\monstre_visual_utils.js;app\static\js\monstre_main_logic.js;330;"afficher_degats_monstre(monstre.element, valeur);"
afficher_degats_monstre;function;app\static\js\monstre_visual_utils.js;app\static\js\monstre_visual_utils.js;app\static\js\monstre_visual_utils.js;10;function afficher_degats_monstre(monstre_div, valeur) {
afficher_soin_monstre;function;app\static\js\monstre_visual_utils.js;app\static\js\monstre_visual_utils.js;app\static\js\monstre_main_logic.js;306;"afficher_soin_monstre(monstre.element, valeur);"
